date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:05	29343/29343	---M-Z	200	added ('OK')	text/html	etag:W/%224b40e263a32b05d70d3d1ae834df810c%22	https://demo-simplecybersite.nicepage.io/	D:/Quota/simplecyber/demo-simplecybersite.nicepage.io/index.html	(from )
08:49:05	3616/3616	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220bf679de5a1b0c43b8afe91c0ad8f6be%22	https://demo-simplecybersite.nicepage.io/robots.txt		(from )
08:49:08	559334/559334	---MCZ	200	added ('OK')	text/css	etag:W/%22e698a948d5c935159de16b0b4b01c200%22	http://capp.nicepage.com/fa51e2c202e89b020d804a4cb5f1097828422826/nicepage.css	D:/Quota/simplecyber/capp.nicepage.com/fa51e2c202e89b020d804a4cb5f1097828422826/nicepage.css	(from https://demo-simplecybersite.nicepage.io/)
08:49:08	23870/23870	---M-Z	200	added ('OK')	text/css	etag:W/%22bbc9970afba8758a8fb6bc82ea3a2b0b%22	https://demo-simplecybersite.nicepage.io/SimpleCyber.css	D:/Quota/simplecyber/demo-simplecybersite.nicepage.io/SimpleCyber.css	(from https://demo-simplecybersite.nicepage.io/)
08:49:12	243905/243905	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22461b7b543001b41e35fd9012b187f584%22	http://capp.nicepage.com/fa51e2c202e89b020d804a4cb5f1097828422826/nicepage.js	D:/Quota/simplecyber/capp.nicepage.com/fa51e2c202e89b020d804a4cb5f1097828422826/nicepage.js	(from https://demo-simplecybersite.nicepage.io/)
08:49:12	29274/29274	---M-Z	200	added ('OK')	text/html	etag:W/%227c7c7e4dde4db57f56ca73c299d8ba66%22	https://demo-simplecybersite.nicepage.io/SimpleCyber.html	D:/Quota/simplecyber/demo-simplecybersite.nicepage.io/SimpleCyber.html	(from https://demo-simplecybersite.nicepage.io/)
08:49:13	773702/773702	---M-Z	200	added ('OK')	text/css	etag:W/%22bfb1fcdb0af75a570182acfa06be66f7%22	https://demo-simplecybersite.nicepage.io/nicepage-site.css	D:/Quota/simplecyber/demo-simplecybersite.nicepage.io/nicepage-site.css	(from https://demo-simplecybersite.nicepage.io/)
08:49:13	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	D:/Quota/simplecyber/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://demo-simplecybersite.nicepage.io/)
08:49:14	69493/69493	---M--	200	added ('OK')	image/png	etag:%22c29c94f9ddcc23eedf35c57acbcd8a34%22	https://assets.nicepage.io/af1aea15/2843676/images/cropped-win-1536x412.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/cropped-win-1536x412.png	(from https://demo-simplecybersite.nicepage.io/)
08:49:14	1554/1554	---M--	200	added ('OK')	image/png	etag:%22301b6337263be69f901f7e240600b1b9%22	https://assets.nicepage.io/af1aea15/2843676/images/2989981-648b7e34.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/2989981-648b7e34.png	(from https://demo-simplecybersite.nicepage.io/)
08:49:15	16795/16795	---M--	200	added ('OK')	image/jpeg	etag:%223d9cef9d148dd53c81a13b776bafcee8%22	https://assets.nicepage.io/af1aea15/2843676/images/tab-bg.jpg	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/tab-bg.jpg	(from https://demo-simplecybersite.nicepage.io/)
08:49:15	2767/2767	---M--	200	added ('OK')	image/png	etag:%2240d6ea5594a3a2c1ac01bdeaa58ac7d3%22	https://assets.nicepage.io/af1aea15/2843676/images/shape2.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/shape2.png	(from https://demo-simplecybersite.nicepage.io/)
08:49:16	3297/3297	---M--	200	added ('OK')	image/png	etag:%22e48f456a1c39ce4febf737b55933d752%22	https://assets.nicepage.io/af1aea15/2843676/images/shape3.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/shape3.png	(from https://demo-simplecybersite.nicepage.io/)
08:49:17	93293/93293	---M--	200	added ('OK')	image/png	etag:%2241255a5f651f4dc59755f55067a43d95%22	https://assets.nicepage.io/af1aea15/2843676/images/hero-img-1-b.png	D:/Quota/simplecyber/assets.nicepage.io/af1aea15/2843676/images/hero-img-1-b.png	(from https://demo-simplecybersite.nicepage.io/SimpleCyber.css)
